precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@15,recall@15,f1@15,layer,head
0.4288,0.26933270322280284,0.31016041138907996,0.36786031746031744,0.4195945300397145,0.36971930529851094,0.32100307470307465,0.5083326632529015,0.3743480030712987,3,3
0.42360000000000003,0.2642450809065898,0.30546300009788885,0.3644603174603175,0.41766684160340434,0.36683404785640983,0.31753640803640804,0.5040543143399079,0.37076701229503883,3,4
0.41640000000000005,0.25943163269591124,0.29990284824882063,0.3540603174603175,0.4045365147292695,0.355863797584263,0.30793640803640804,0.4902534641129001,0.35979652513629234,3,5
0.4232,0.2651091023281022,0.3056617068137163,0.35886031746031744,0.4100249674644714,0.36083985634471255,0.313936408036408,0.49847087844926047,0.36638831862377275,3,6
0.40520000000000006,0.2502105998474487,0.29050353784008565,0.3460603174603175,0.4001337368856247,0.34965220455770135,0.307536408036408,0.490854063565172,0.35960960401420333,3,7
0.42000000000000004,0.2621253680455289,0.3027513939614095,0.3574603174603175,0.41303643380432653,0.361243052892277,0.3128697413697414,0.498743442549658,0.365701007232103,3,8
0.4124,0.2563591893471689,0.29636777787879937,0.35166031746031745,0.40340397090869223,0.35435182850979,0.3114030747030747,0.4967357982328167,0.36406660506848415,3,9
0.43,0.26688760311867726,0.3088098966871385,0.36826031746031745,0.42174205925902314,0.3704908429358221,0.320736408036408,0.5084916698122176,0.3741640124629975,3,10
0.42640000000000006,0.26496573947594615,0.30657386411945076,0.3636603174603174,0.4174088074921195,0.36661940101737106,0.3171364080364081,0.5019201558544505,0.36986636076577434,3,11
0.4272,0.26613013468411906,0.3075120946893543,0.3594603174603175,0.4137473180039575,0.3626287476181252,0.317136408036408,0.5036350431059644,0.37010285431224954,3,12
0.402,0.25167929156463953,0.29092856215122603,0.3496603174603174,0.40364218878828856,0.3529790896292449,0.31033640803640805,0.4958964547306888,0.36323312390144613,4,1
0.436,0.2710247566372247,0.3137266553808011,0.3680603174603175,0.42057791908527203,0.3702037854831401,0.3212697413697414,0.5100512905004291,0.3750159117166634,4,2
0.4288,0.26781294249116966,0.3090493119451577,0.3654603174603175,0.4188845418111201,0.36816744675206237,0.3192697413697414,0.5053931576458869,0.37222930655802916,4,3
0.42000000000000004,0.26234538705313365,0.3026618301318414,0.3634603174603175,0.415463163936939,0.3655935349508038,0.3171364080364081,0.5018171510162761,0.3697569664204174,4,4
0.398,0.248236218120607,0.2869763331006069,0.3416603174603174,0.3983971943494255,0.34664049445895445,0.3132697413697414,0.4990632966496071,0.36613822796694034,4,5
0.40320000000000006,0.25017379898061687,0.28935494774056536,0.3492603174603175,0.4045162567824332,0.3529139871418475,0.30606974136974135,0.48800167201668077,0.35774553412846494,4,6
0.43600000000000005,0.2710863245324445,0.31383486614893447,0.3696603174603175,0.42184411565075514,0.3716068513041903,0.3244697413697413,0.5136967706308936,0.37834155789208657,4,7
0.43,0.2676049903552124,0.309328488393812,0.37166031746031747,0.4258645693343365,0.37414954062551603,0.32366974136974136,0.5123733532388701,0.37736275768923283,4,8
0.4228,0.2652722076438391,0.3052575558331553,0.3592603174603175,0.4117943631188213,0.36169795104907304,0.3142030747030747,0.49982705802520716,0.3670234273951805,4,9
0.4212,0.2616091963804879,0.302886067382178,0.35386031746031743,0.40567949031520173,0.35635876522375326,0.3122030747030747,0.4969845386165113,0.3646464159037934,4,10
0.434,0.2712158509286588,0.3132805847311405,0.3694603174603175,0.42314790528217633,0.3721315357399277,0.32353640803640804,0.5132183695972294,0.37752280649548153,4,11
